Date,Value,Anomaly
196001,36.1,-5.5
196002,40.4,-4.9
196003,52.9,2.7
196004,58.2,1.2
196005,65.3,-0.6
196006,77.9,2.8
196007,81.2,0.9
196008,79.3,1.0
196009,74.2,1.9
196010,59.7,-1.7
196011,50.2,0.3
196012,39.5,-2.1
196101,42.1,0.5
196102,46.0,0.7
196103,49.4,-0.8
196104,57.8,0.8
196105,65.1,-0.8
196106,77.9,2.8
196107,80.9,0.6
196108,77.4,-0.9
196109,69.1,-3.2
196110,59.7,-1.7
196111,46.6,-3.3
196112,39.1,-2.5
196201,38.8,-2.8
196202,45.0,-0.3
196203,44.7,-5.5
196204,61.6,4.6
196205,63.3,-2.6
196206,73.2,-1.9
196207,79.0,-1.3
196208,79.9,1.6
196209,73.4,1.1
196210,62.1,0.7
196211,53.0,3.1
196212,44.0,2.4
196301,37.3,-4.3
196302,49.2,3.9
196303,48.6,-1.6
196304,54.5,-2.5
196305,68.2,2.3
196306,71.6,-3.5
196307,81.5,1.2
196308,76.7,-1.6
196309,73.9,1.6
196310,64.6,3.2
196311,50.3,0.4
196312,41.1,-0.5
196401,37.4,-4.2
196402,39.1,-6.2
196403,45.0,-5.2
196404,54.2,-2.8
196405,64.3,-1.6
196406,72.7,-2.4
196407,80.9,0.6
196408,76.7,-1.6
196409,70.4,-1.9
196410,64.8,3.4
196411,45.8,-4.1
196412,41.9,0.3
196501,43.3,1.7
196502,43.0,-2.3
196503,46.4,-3.8
196504,54.8,-2.2
196505,61.8,-4.1
196506,69.0,-6.1
196507,78.8,-1.5
196508,77.9,-0.4
196509,68.6,-3.7
196510,63.3,1.9
196511,52.6,2.7
196512,42.2,0.6
196601,37.8,-3.8
196602,39.2,-6.1
196603,50.9,0.7
196604,58.5,1.5
196605,68.1,2.2
196606,74.5,-0.6
196607,80.4,0.1
196608,78.8,0.5
196609,72.1,-0.2
196610,60.4,-1.0
196611,51.8,1.9
196612,41.5,-0.1
196701,40.2,-1.4
196702,46.0,0.7
196703,52.5,2.3
196704,52.3,-4.7
196705,63.9,-2.0
196706,71.5,-3.6
196707,80.2,-0.1
196708,78.1,-0.2
196709,71.6,-0.7
196710,62.8,1.4
196711,52.8,2.9
196712,36.2,-5.4
196801,38.6,-3.0
196802,49.0,3.7
196803,50.0,-0.2
196804,54.4,-2.6
196805,64.6,-1.3
196806,75.1,0.0
196807,78.4,-1.9
196808,74.0,-4.3
196809,71.2,-1.1
196810,61.7,0.3
196811,49.0,-0.9
196812,37.8,-3.8
196901,44.7,3.1
196902,42.7,-2.6
196903,45.8,-4.4
196904,57.5,0.5
196905,67.0,1.1
196906,72.5,-2.6
196907,80.4,0.1
196908,81.1,2.8
196909,73.6,1.3
196910,57.8,-3.6
196911,49.2,-0.7
196912,44.1,2.5
197001,40.8,-0.8
197002,47.8,2.5
197003,47.3,-2.9
197004,51.5,-5.5
197005,66.4,0.5
197006,74.7,-0.4
197007,81.0,0.7
197008,79.3,1.0
197009,69.6,-2.7
197010,57.1,-4.3
197011,50.4,0.5
197012,41.6,0.0
197101,41.0,-0.6
197102,44.1,-1.2
197103,50.6,0.4
197104,55.4,-1.6
197105,61.5,-4.4
197106,73.8,-1.3
197107,81.8,1.5
197108,77.0,-1.3
197109,71.1,-1.2
197110,56.3,-5.1
197111,47.9,-2.0
197112,38.1,-3.5
197201,41.2,-0.4
197202,46.9,1.6
197203,57.0,6.8
197204,58.0,1.0
197205,65.2,-0.7
197206,74.3,-0.8
197207,81.5,1.2
197208,77.2,-1.1
197209,71.2,-1.1
