MSN,Description,Unit
ABICB,Aviation gasoline blending components consumed by the industrial sector.,Billion Btu
ARICB,Asphalt and road oil consumed by the industrial sector.,Billion Btu
ARTCB,Asphalt and road oil total consumption.,Billion Btu
ARTXB,Asphalt and road oil total end-use consumption.,Billion Btu
AVACB,Aviation gasoline consumed by the transportation sector.,Billion Btu
AVTCB,Aviation gasoline total consumption.,Billion Btu
AVTXB,Aviation gasoline total end-use consumption.,Billion Btu
BMTCB,Biomass total consumption,Billion Btu
CLACB,Coal consumed by the transportation sector.,Billion Btu
CLCCB,Coal consumed by the commercial sector.,Billion Btu
CLEIB,Coal consumed by the electric power sector.,Billion Btu
CLICB,Coal consumed by the industrial sector.,Billion Btu
CLKCB,Coal consumed at coke plants (coking coal).,Billion Btu
CLOCB,Coal consumed by industrial users other than coke plants.,Billion Btu
CLOSB,Coal consumed by the industrial sector excluding refinery fuel.,Billion Btu
CLPRB,Coal production.,Billion Btu
CLRCB,Coal consumed by the residential sector.,Billion Btu
CLRFB,Coal consumed as refinery fuel.,Billion Btu
CLTCB,Coal total consumption.,Billion Btu
CLTXB,Coal total end-use consumption.,Billion Btu
COICB,Crude oil consumed by the industrial sector.,Billion Btu
DFACB,Distillate fuel oil consumed by the transportation sector.,Billion Btu
DFCCB,Distillate fuel oil consumed by the commercial sector.,Billion Btu
DFICB,Distillate fuel oil consumed by the industrial sector.,Billion Btu
DFISB,Distillate fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu
DFRCB,Distillate fuel oil consumed by the residential sector.,Billion Btu
DFRFB,Distillate fuel oil consumed as refinery fuel.,Billion Btu
DFTCB,Distillate fuel oil total consumption.,Billion Btu
DFTXB,Distillate fuel oil total end-use consumption.,Billion Btu
DKEIB,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Billion Btu
ELEXB,Electricity exported from the United States.,Billion Btu
ELIMB,Electricity imported into the United States.,Billion Btu
ELISB,Net interstate sales of electricity and associated losses (negative and positive values).,Billion Btu
ELNIB,Net imports of electricity into the United States.,Billion Btu
EMACB,"Fuel ethanol, excluding denaturant, consumed by the transportation sector.   ",Billion Btu
