Date,Value,Anomaly
196001,40.3,-3.0
196002,44.0,-2.2
196003,51.9,2.4
196004,54.8,0.8
196005,60.1,-1.6
196006,73.1,4.0
196007,77.2,1.9
196008,73.9,-0.5
196009,70.8,1.5
196010,59.3,-0.9
196011,48.2,-1.7
196012,43.0,-0.2
196101,44.3,1.0
196102,47.3,1.1
196103,48.2,-1.3
196104,55.4,1.4
196105,58.5,-3.2
196106,72.4,3.3
196107,76.8,1.5
196108,75.3,0.9
196109,66.6,-2.7
196110,59.4,-0.8
196111,47.6,-2.3
196112,41.9,-1.3
196201,41.3,-2.0
196202,43.6,-2.6
196203,45.0,-4.5
196204,58.2,4.2
196205,58.0,-3.7
196206,68.2,-0.9
196207,73.8,-1.5
196208,73.8,-0.6
196209,69.6,0.3
196210,59.8,-0.4
196211,51.7,1.8
196212,45.5,2.3
196301,40.5,-2.8
196302,52.0,5.8
196303,47.1,-2.4
196304,49.0,-5.0
196305,61.4,-0.3
196306,65.8,-3.3
196307,72.4,-2.9
196308,72.8,-1.6
196309,70.7,1.4
196310,61.0,0.8
196311,49.2,-0.7
196312,43.1,-0.1
196401,41.0,-2.3
196402,44.0,-2.2
196403,46.2,-3.3
196404,52.5,-1.5
196405,58.2,-3.5
196406,66.3,-2.8
196407,74.8,-0.5
196408,74.0,-0.4
196409,66.9,-2.4
196410,63.8,3.6
196411,46.1,-3.8
196412,45.0,1.8
196501,43.6,0.3
196502,45.7,-0.5
196503,48.4,-1.1
196504,52.8,-1.2
196505,59.3,-2.4
196506,64.7,-4.4
196507,73.3,-2.0
196508,73.7,-0.7
196509,64.6,-4.7
196510,63.0,2.8
196511,50.7,0.8
196512,40.6,-2.6
196601,40.8,-2.5
196602,42.1,-4.1
196603,49.9,0.4
196604,57.8,3.8
196605,63.8,2.1
196606,68.8,-0.3
196607,72.9,-2.4
196608,75.8,1.4
196609,69.0,-0.3
196610,60.4,0.2
196611,51.0,1.1
196612,43.8,0.6
196701,43.5,0.2
196702,46.6,0.4
196703,48.0,-1.5
196704,44.9,-9.1
196705,60.8,-0.9
196706,66.1,-3.0
196707,76.8,1.5
196708,77.8,3.4
196709,70.8,1.5
196710,61.6,1.4
196711,53.4,3.5
196712,39.6,-3.6
196801,41.7,-1.6
196802,50.1,3.9
196803,50.4,0.9
196804,54.0,0.0
196805,60.5,-1.2
196806,70.0,0.9
196807,75.4,0.1
196808,70.9,-3.5
196809,69.1,-0.2
196810,59.4,-0.8
196811,49.6,-0.3
196812,40.0,-3.2
196901,42.8,-0.5
196902,41.5,-4.7
196903,47.0,-2.5
196904,53.4,-0.6
196905,63.7,2.0
196906,66.8,-2.3
196907,75.2,-0.1
196908,76.1,1.7
196909,70.9,1.6
196910,56.4,-3.8
196911,51.0,1.1
196912,45.1,1.9
197001,44.7,1.4
197002,48.3,2.1
197003,49.4,-0.1
197004,49.9,-4.1
197005,62.7,1.0
197006,69.4,0.3
197007,76.5,1.2
197008,75.1,0.7
197009,67.7,-1.6
197010,58.0,-2.2
197011,50.9,1.0
197012,41.2,-2.0
197101,42.8,-0.5
197102,45.1,-1.1
197103,48.0,-1.5
197104,51.8,-2.2
197105,57.3,-4.4
197106,66.8,-2.3
197107,75.7,0.4
197108,76.0,1.6
197109,68.5,-0.8
197110,55.9,-4.3
197111,47.9,-2.0
197112,38.7,-4.5
197201,39.9,-3.4
197202,46.9,0.7
197203,54.4,4.9
197204,53.8,-0.2
197205,62.2,0.5
197206,69.8,0.7
197207,76.5,1.2
197208,74.0,-0.4
197209,66.6,-2.7
197210,57.3,-2.9
197211,46.7,-3.2
197212,39.0,-4.2
197301,40.2,-3.1
197302,45.8,-0.4
197303,44.9,-4.6
197304,53.9,-0.1
197305,64.3,2.6
197306,71.0,1.9
197307,75.1,-0.2
197308,73.3,-1.1
197309,67.5,-1.8
197310,58.9,-1.3
197311,47.9,-2.0
197312,44.8,1.6
197401,41.5,-1.8
197402,44.4,-1.8
197403,49.3,-0.2
197404,52.5,-1.5
197405,61.4,-0.3
197406,70.8,1.7
197407,74.2,-1.1
197408,73.7,-0.7
197409,71.8,2.5
197410,60.4,0.2
197411,49.5,-0.4
197412,42.0,-1.2
197501,42.5,-0.8
197502,43.8,-2.4
197503,46.0,-3.5
197504,47.1,-6.9
197505,60.8,-0.9
197506,68.0,-1.1
197507,73.8,-1.5
197508,72.1,-2.3
197509,71.0,1.7
197510,57.5,-2.7
197511,47.9,-2.0
197512,44.7,1.5
197601,44.4,1.1
197602,46.0,-0.2
197603,47.3,-2.2
197604,50.8,-3.2
197605,63.2,1.5
197606,67.9,-1.2
197607,74.7,-0.6
197608,69.7,-4.7
197609,68.0,-1.3
197610,60.5,0.3
197611,53.1,3.2
197612,43.9,0.7
197701,41.3,-2.0
197702,48.8,2.6
197703,45.3,-4.2
197704,56.6,2.6
197705,54.8,-6.9
197706,71.4,2.3
197707,74.8,-0.5
197708,75.0,0.6
197709,67.8,-1.5
197710,61.2,1.0
197711,51.3,1.4
197712,47.4,4.2
197801,45.4,2.1
197802,46.5,0.3
197803,52.6,3.1
197804,51.5,-2.5
197805,61.1,-0.6
197806,69.0,-0.1
197807,74.8,-0.5
197808,73.8,-0.6
197809,66.7,-2.6
197810,63.7,3.5
197811,47.0,-2.9
197812,39.2,-4.0
197901,40.1,-3.2
197902,43.4,-2.8
197903,49.2,-0.3
197904,53.6,-0.4
197905,62.5,0.8
197906,69.6,0.5
197907,74.5,-0.8
197908,71.9,-2.5
197909,72.2,2.9
197910,61.1,0.9
197911,48.2,-1.7
197912,45.7,2.5
198001,45.9,2.6
198002,48.8,2.6
198003,47.3,-2.2
198004,54.5,0.5
198005,58.2,-3.5
198006,65.5,-3.6
198007,75.4,0.1
198008,73.0,-1.4
198009,68.6,-0.7
198010,61.4,1.2
198011,51.2,1.3
198012,47.1,3.9
198101,46.7,3.4
198102,47.7,1.5
198103,48.7,-0.8
198104,56.5,2.5
198105,61.9,0.2
198106,73.2,4.1
198107,75.5,0.2
198108,75.8,1.4
198109,70.4,1.1
198110,56.7,-3.5
198111,51.8,1.9
198112,46.7,3.5
198201,40.4,-2.9
198202,46.9,0.7
198203,46.8,-2.7
198204,52.1,-1.9
198205,61.7,0.0
198206,66.4,-2.7
198207,73.1,-2.2
198208,73.9,-0.5
198209,67.1,-2.2
198210,58.4,-1.8
198211,46.7,-3.2
198212,42.5,-0.7
198301,44.2,0.9
198302,46.8,0.6
198303,48.6,-0.9
198304,49.8,-4.2
198305,61.3,-0.4
198306,67.5,-1.6
198307,71.9,-3.4
198308,73.7,-0.7
198309,71.0,1.7
198310,61.4,1.2
198311,49.2,-0.7
198312,45.2,2.0
198401,45.4,2.1
198402,46.1,-0.1
198403,52.0,2.5
198404,52.9,-1.1
198405,65.3,3.6
198406,68.2,-0.9
198407,77.0,1.7
198408,74.9,0.5
198409,72.2,2.9
198410,56.2,-4.0
198411,47.6,-2.3
198412,40.8,-2.4
198501,41.7,-1.6
198502,45.2,-1.0
198503,46.4,-3.1
198504,58.2,4.2
198505,61.2,-0.5
198506,72.3,3.2
198507,77.2,1.9
198508,73.0,-1.4
198509,64.4,-4.9
198510,58.9,-1.3
198511,46.0,-3.9
198512,43.4,0.2
198601,48.8,5.5
198602,48.8,2.6
198603,53.6,4.1
198604,54.6,0.6
198605,62.2,0.5
198606,71.2,2.1
198607,72.9,-2.4
198608,76.0,1.6
198609,63.5,-5.8
198610,59.1,-1.1
198611,51.7,1.8
198612,44.1,0.9
198701,41.4,-1.9
198702,46.2,0.0
