MSN,Description,Unit
ABICB,Aviation gasoline blending components consumed by the industrial sector.,Billion Btu
ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels
ARICB,Asphalt and road oil consumed by the industrial sector.,Billion Btu
ARICD,Asphalt and road oil price in the industrial sector.,Dollars per million Btu
ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels
ARICV,Asphalt and road oil expenditures in the industrial sector.,Million dollars
ARTCB,Asphalt and road oil total consumption.,Billion Btu
ARTCD,"Asphalt and road oil average price, all sectors.",Dollars per million Btu
ARTCP,Asphalt and road oil total consumption.,Thousand barrels
ARTCV,Asphalt and road oil total expenditures.,Million dollars
ARTXB,Asphalt and road oil total end-use consumption.,Billion Btu
ARTXD,"Asphalt and road oil average price, all end-use sectors.",Dollars per million Btu
ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels
ARTXV,Asphalt and road oil total end-use expenditures.,Million dollars
AVACB,Aviation gasoline consumed by the transportation sector.,Billion Btu
AVACD,Aviation gasoline price in the transportation sector.,Dollars per million Btu
AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels
AVACV,Aviation gasoline expenditures in the transportation sector.,Million dollars
AVTCB,Aviation gasoline total consumption.,Billion Btu
AVTCD,"Aviation gasoline average price, all sectors.",Dollars per million Btu
AVTCP,Aviation gasoline total consumption.,Thousand barrels
AVTCV,Aviation gasoline total expenditures.,Million dollars
AVTXB,Aviation gasoline total end-use consumption.,Billion Btu
AVTXD,"Aviation gasoline average price, all end-use sectors.",Dollars per million Btu
AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels
AVTXV,Aviation gasoline total end-use expenditures.,Million dollars
BMTCB,Biomass total consumption,Billion Btu
CLHCK,Factor for converting coal consumed by the residential and commercial sectors from physical units to Btu.,Million Btu per short ton
CLKCB,Coal consumed at coke plants (coking coal).,Billion Btu
CLKCD,Coal price at coke plants.,Dollars per million Btu
CLKCK,Factor for converting coal carbonized at coke plants from physical units to Btu.,Million Btu per short ton
CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons
CLKCV,Coal expenditures at coke plants.,Million dollars
CLOCB,Coal consumed by industrial users other than coke plants.,Billion Btu
CLOCD,Coal price in the industrial sector other than coke plants.,Dollars per million Btu
CLOCK,Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu.,Million Btu per short ton
CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons
CLOCV,Coal expenditures in the industrial sector other than coke plants.,Million dollars
CLOSB,Coal consumed by the industrial sector excluding refinery fuel.,Billion Btu
CLPRB,Coal production.,Billion Btu
CLPRK,Factor for converting coal production from physical units to Btu.,Million Btu per short ton
CLPRP,Coal production.,Thousand short tons
CLRFB,Coal consumed as refinery fuel.,Billion Btu
CLXCD,Coal average price for all sectors excluding refinery fuel.,Dollars per million Btu
CLXCV,Coal expenditures for all sectors excluding refinery fuel.,Million dollars
COICB,Crude oil consumed by the industrial sector.,Billion Btu
COICP,Crude oil consumed by the industrial sector.,Thousand barrels
COPRK,Factor for converting crude oil production from physical units to Btu.,Million Btu per barrel
DFACB,Distillate fuel oil consumed by the transportation sector.,Billion Btu
DFACD,Distillate fuel oil price in the transportation sector.,Dollars per million Btu
DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels
DFACV,Distillate fuel oil expenditures in the transportation sector.,Million dollars
DFCCB,Distillate fuel oil consumed by the commercial sector.,Billion Btu
DFCCD,Distillate fuel oil price in the commercial sector.,Dollars per million Btu
DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels
DFCCV,Distillate fuel oil expenditures in the commercial sector.,Million dollars
DFEID,Distillate fuel oil price in the electric power sector.,Dollars per million Btu
DFEIV,Distillate fuel oil expenditures in the electric power sector.,Million dollars
DFICB,Distillate fuel oil consumed by the industrial sector.,Billion Btu
DFICD,Distillate fuel oil price in the industrial sector.,Dollars per million Btu
DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels
DFICV,Distillate fuel oil expenditures in the industrial sector.,Million dollars
DFISB,Distillate fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu
DFRCB,Distillate fuel oil consumed by the residential sector.,Billion Btu
DFRCD,Distillate fuel oil price in the residential sector.,Dollars per million Btu
DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels
DFRCV,Distillate fuel oil expenditures in the residential sector.,Million dollars
DFRFB,Distillate fuel oil consumed as refinery fuel.,Billion Btu
DFTCB,Distillate fuel oil total consumption.,Billion Btu
DFTCD,"Distillate fuel oil average price, all sectors.",Dollars per million Btu
DFTCP,Distillate fuel oil total consumption.,Thousand barrels
DFTCV,Distillate fuel oil total expenditures.,Million dollars
DFTXB,Distillate fuel oil total end-use consumption.,Billion Btu
DFTXD,"Distillate fuel oil average price, all end-use sectors.",Dollars per million Btu
DFTXP,Distillate fuel oil total end-use consumption.,Thousand barrels
DFTXV,Distillate fuel oil total end-use expenditures.,Million dollars
DKEIB,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Billion Btu
DKEID,Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.,Dollars per million Btu
DKEIP,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Thousand barrels
DKEIV,Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.,Million dollars
ELEXB,Electricity exported from the United States.,Billion Btu
ELEXD,Electricity exports average price.,Dollars per million Btu
ELEXP,Electricity exported from the United States.,Million kilowatthours
ELEXV,Electricity exports expenditures.,Million dollars
ELIMB,Electricity imported into the United States.,Billion Btu
ELIMD,Electricity imports average price.,Dollars per million Btu
ELIMP,Electricity imported into the United States.,Million kilowatthours
ELIMV,Electricity imports expenditures.,Million dollars
ELISB,Net interstate sales of electricity and associated losses (negative and positive values).,Billion Btu
ELNIB,Net imports of electricity into the United States.,Billion Btu
ELNIP,Net imports of electricity into the United States.,Million kilowatthours
EMFDB,Biomass inputs (feedstock) for the production of fuel ethanol.,Billion Btu
EMLCB,Energy losses and co-products from the production of fuel ethanol.,Billion Btu
ENACP,"Fuel ethanol, including denaturant, consumed by the transportation sector.",Thousand barrels
ENCCP,"Fuel ethanol, including denaturant, consumed by the commercial sector.",Thousand barrels
ENICP,"Fuel ethanol, including denaturant, consumed by the industrial sector.",Thousand barrels
ENPRP,"Fuel ethanol production, including denaturant.",Thousand barrels
ENTCP,"Fuel ethanol, including denaturant, total consumption.",Thousand barrels
ESISB,Electricity sales to the industrial sector excluding refinery use.,Billion Btu
ESRFB,Electricity consumed by refineries.,Billion Btu
FFTCB,"Fossil fuelS, total consumption.",Billion Btu
FNICB,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Billion Btu
FNICD,"Petrochemical feedstocks, naphtha less than 401 F, price in the industrial sector.",Dollars per million Btu
FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels
FNICV,"Petrochemical feedstocks, naphtha less than 401 F, expenditures in the industrial sector.",Million dollars
FOICB,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Billion Btu
FOICD,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, price in the industrial sector.",Dollars per million Btu
FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels
FOICV,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, expenditures in the industrial sector.",Million dollars
FSICB,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Billion Btu
FSICD,"Petrochemical feedstocks, still gas, price in the industrial sector.",Dollars per million Btu
FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels
FSICV,"Petrochemical feedstocks, still gas, expenditures in the industrial sector.",Million dollars
GDPRV,Current-dollar gross domestic product.,Million dollars
GDPRX,Real gross domestic product.,Million chained (2005) dollars
GOCCB,Geothermal energy and hydroelectricity consumed in the commercial sector.,Billion Btu
GORCB,Geothermal and solar energy consumed in the residential sector.,Billion Btu
JFACB,Jet fuel consumed by the transportation sector.,Billion Btu
JFACD,Jet fuel price in the transportation sector.,Dollars per million Btu
JFACP,Jet fuel consumed by the transportation sector.,Thousand barrels
JFACV,Jet fuel expenditures in the transportation sector.,Million dollars
JFTCB,Jet fuel total consumption.,Billion Btu
JFTCD,"Jet fuel average price, all sectors.",Dollars per million Btu
JFTCP,Jet fuel total consumption.,Thousand barrels
JFTCV,Jet fuel total expenditures.,Million dollars
JFTXB,Jet fuel total end-use consumption.,Billion Btu
JFTXD,"Jet fuel average price, all end-use sectors.",Dollars per million Btu
JFTXP,Jet fuel total end-use consumption.,Thousand barrels
JFTXV,Jet fuel total end-use expenditures.,Million dollars
JKACB,Kerosene-type jet fuel consumed by the transportation sector.,Billion Btu
JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels
JKTCB,Kerosene-type jet fuel total consumption.,Billion Btu
JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels
JNACB,Naphtha-type jet fuel consumed by the transportation sector.,Billion Btu
JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels
JNTCB,Naphtha-type jet fuel total consumption.,Billion Btu
JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels
KSCCB,Kerosene consumed by the commercial sector.,Billion Btu
KSCCD,Kerosene price in the commercial sector.,Dollars per million Btu
KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels
KSCCV,Kerosene expenditures in the commercial sector.,Million dollars
KSICB,Kerosene consumed by the industrial sector.,Billion Btu
KSICD,Kerosene price in the industrial sector.,Dollars per million Btu
KSICP,Kerosene consumed by the industrial sector.,Thousand barrels
KSICV,Kerosene expenditures in the industrial sector.,Million dollars
KSRCB,Kerosene consumed by the residential sector.,Billion Btu
KSRCD,Kerosene price in the residential sector.,Dollars per million Btu
KSRCP,Kerosene consumed by the residential sector.,Thousand barrels
KSRCV,Kerosene expenditures in the residential sector.,Million dollars
KSTCB,Kerosene total consumption.,Billion Btu
KSTCD,"Kerosene average price, all sectors.",Dollars per million Btu
KSTCP,Kerosene total consumption.,Thousand barrels
KSTCV,Kerosene total expenditures.,Million dollars
KSTXB,Kerosene total end-use consumption.,Billion Btu
KSTXD,"Kerosene average price, all end-use sectors.",Dollars per million Btu
KSTXP,Kerosene total end-use consumption.,Thousand barrels
KSTXV,Kerosene total end-use expenditures.,Million dollars
