MSN,Description,Unit
CLACB,Coal consumed by the transportation sector.,Billion Btu
CLACD,Coal price in the transportation sector.,Dollars per million Btu
CLACK,Factor for converting coal consumed by the transportation sector from physical units to Btu.,Million Btu per short ton
CLACP,Coal consumed by the transportation sector.,Thousand short tons
CLACV,Coal expenditures in the transportation sector.,Million dollars
CLCCB,Coal consumed by the commercial sector.,Billion Btu
CLCCD,Coal price in the commercial sector.,Dollars per million Btu
CLCCP,Coal consumed by the commercial sector.,Thousand short tons
CLCCV,Coal expenditures in the commercial sector.,Million dollars
CLEIB,Coal consumed by the electric power sector.,Billion Btu
CLEID,Coal price in the electric power sector.,Dollars per million Btu
CLEIK,Factor for converting coal consumed by the electric power sector from physical units to Btu.,Million Btu per short ton
CLEIP,Coal consumed by the electric power sector.,Thousand short tons
CLEIV,Coal expenditures in the electric power sector.,Million dollars
CLICB,Coal consumed by the industrial sector.,Billion Btu
CLICD,Coal price in the industrial sector.,Million dollars
CLICP,Coal consumed by the industrial sector.,Thousand short tons
CLICV,Coal expenditures in the industrial sector.,Million dollars
CLRCB,Coal consumed by the residential sector.,Billion Btu
CLRCD,Coal price in the residential sector.,Dollars per million Btu
CLRCP,Coal consumed by the residential sector.,Thousand short tons
CLRCV,Coal expenditures in the residential sector.,Million dollars
CLTCB,Coal total consumption.,Billion Btu
CLTCD,"Coal average price, all sectors.",Dollars per million Btu
CLTCP,Coal total consumption.,Thousand short tons
CLTCV,Coal total expenditures.,Million dollars
CLTXB,Coal total end-use consumption.,Billion Btu
CLTXD,"Coal average price, all end-use sectors.",Dollars per million Btu
CLTXP,Coal total end-use consumption.,Thousand barrels
CLTXV,Coal total end-use expenditures.,Million dollars
EMACB,"Fuel ethanol, excluding denaturant, consumed by the transportation sector.   ",Billion Btu
EMACV,"Fuel ethanol, excluding denaturant, expenditures in the transportation sector.",Million dollars
EMCCB,"Fuel ethanol, excluding denaturant, consumed by the commercial sector ",Billion Btu
EMCCV,"Fuel ethanol, excluding denaturant, expenditures in the commercial sector.",Million dollars
EMICB,"Fuel ethanol, excluding denaturant, consumed by the industrial sector. ",Billion Btu
EMICV,"Fuel ethanol, excluding denaturant, expenditures in the industrial sector.",Million dollars
EMTCB,"Fuel ethanol, excluding denaturant, total consumption.",Billion Btu
EMTCV,"Fuel ethanol, excluding denaturant, total expenditures.",Million dollars
ESACB,"Electricity consumed by (i.e., sold to) the transportation sector.",Billion Btu
ESACD,Electricity price in the transportation sector.,Dollars per million Btu
ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours
ESACV,Electricity expenditures in the transportation sector.,Million dollars
ESCCB,"Electricity consumed by (i.e., sold to) the commercial sector.",Billion Btu
ESCCD,Electricity price in the commercial sector.,Dollars per million Btu
ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours
ESCCV,Electricity expenditures in the commercial sector.,Million dollars
ESICB,"Electricity consumed by (i.e., sold to) the industrial sector.",Billion Btu
ESICD,Electricity price in the industrial sector.,Dollars per million Btu
ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours
ESICV,Electricity expenditures in the industrial sector.,Million dollars
ESRCB,"Electricity consumed by (i.e., sold to) the residential sector.",Billion Btu
ESRCD,Electricity price in the residential sector.,Dollars per million Btu
ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours
ESRCV,Electricity expenditures in the residential sector.,Million dollars
ESTCB,"Electricity total consumption (i.e., sold).",Billion Btu
ESTCD,"Electricity average price, all sectors.",Dollars per million Btu
ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours
ESTCV,Electricity total expenditures.,Million dollars
