Date,Percent Change,Value in 2009 Dollars
1960,1.509929427,7.249131805
1961,1.075181891,7.172019549
1962,1.116071429,7.092858186
1963,1.214128036,7.007774827
1964,1.308615049,6.917254592
1965,1.66846071,6.803736915
1966,2.991000529,6.606147023
1967,2.775636083,6.42773645
1968,4.217721097,6.167604111
1969,5.414700472,5.850800773
1970,5.895295903,5.525080905
1971,4.255928924,5.299536403
1972,3.305614735,5.129959699
1973,6.220063864,4.829558101
1974,11.03526022,4.349571561
1975,9.131930735,3.985608549
1976,5.737027083,3.76935938
1977,6.486460064,3.539754611
1978,7.647463851,3.288284261
1979,11.26604409,2.955334925
1980,13.50937033,2.603604369
1981,10.31553398,2.360143014
1982,6.160616062,2.223181347
1983,3.212435233,2.153985944
1984,4.317269076,2.064841193
1985,3.561116458,1.99383829
1986,1.858736059,1.95745438
1987,3.740875912,1.886868953
1988,4.009088244,1.814138539
1989,4.82700303,1.730602312
1990,5.39795644,1.641969513
1991,4.234963965,1.575257909
1992,3.028819678,1.528948806
1993,2.951656966,1.485113354
1994,2.607441592,1.447373925
1995,2.805419689,1.407877064
1996,2.9312042,1.367784507
1997,2.337689937,1.336540339
1998,1.552279099,1.316110628
1999,2.188027197,1.287930362
2000,3.376857271,1.245859466
2001,2.826171119,1.211617093
2002,1.586031627,1.192700486
2003,2.270094973,1.166226048
2004,2.677236693,1.135817524
2005,3.392746845,1.098546618
2006,3.225944101,1.064215617
2007,2.852672482,1.034699043
2008,3.839100297,0.996444537
2009,-0.355546266,1
