Date,Value,Anomaly
196001,30.0,-4.1
196002,32.5,-5.7
196003,44.6,0.4
196004,53.0,1.2
196005,59.6,-1.2
196006,71.0,1.5
196007,71.5,-1.6
196008,71.8,0.9
196009,66.0,1.6
196010,53.2,-1.0
196011,43.6,0.7
196012,30.2,-4.5
196101,31.7,-2.4
196102,37.9,-0.3
196103,43.6,-0.6
196104,51.0,-0.8
196105,61.3,0.5
196106,70.1,0.6
196107,72.2,-0.9
196108,70.4,-0.5
196109,62.1,-2.3
196110,53.5,-0.7
196111,39.1,-3.8
196112,33.1,-1.6
196201,30.5,-3.6
196202,41.3,3.1
196203,38.9,-5.3
196204,54.0,2.2
196205,61.2,0.4
196206,67.7,-1.8
196207,71.5,-1.6
196208,72.2,1.3
196209,65.2,0.8
196210,55.5,1.3
196211,44.8,1.9
196212,36.7,2.0
196301,28.8,-5.3
196302,38.8,0.6
196303,43.6,-0.6
196304,53.4,1.6
196305,63.0,2.2
196306,68.5,-1.0
196307,75.1,2.0
196308,70.6,-0.3
196309,66.3,1.9
196310,57.9,3.7
196311,43.9,1.0
196312,32.7,-2.0
196401,30.2,-3.9
196402,29.3,-8.9
196403,39.7,-4.5
196404,49.6,-2.2
196405,61.3,0.5
196406,68.6,-0.9
196407,74.4,1.3
196408,71.5,0.6
196409,64.3,-0.1
196410,55.4,1.2
196411,41.8,-1.1
196412,34.5,-0.2
196501,36.8,2.7
196502,34.9,-3.3
196503,38.7,-5.5
196504,52.2,0.4
196505,59.0,-1.8
196506,66.4,-3.1
196507,73.0,-0.1
196508,69.8,-1.1
196509,62.7,-1.7
196510,54.4,0.2
196511,46.5,3.6
196512,36.6,1.9
196601,29.2,-4.9
196602,32.2,-6.0
196603,44.6,0.4
196604,52.2,0.4
196605,62.2,1.4
196606,68.4,-1.1
196607,75.3,2.2
196608,69.8,-1.1
196609,64.3,-0.1
196610,53.1,-1.1
196611,45.8,2.9
196612,33.6,-1.1
196701,33.6,-0.5
196702,38.6,0.4
196703,48.5,4.3
196704,53.6,1.8
196705,59.0,-1.8
196706,67.8,-1.7
196707,73.3,0.2
196708,68.8,-2.1
196709,63.2,-1.2
196710,55.1,0.9
196711,44.3,1.4
196712,30.4,-4.3
196801,33.3,-0.8
196802,39.5,1.3
196803,42.6,-1.6
196804,48.5,-3.3
196805,59.1,-1.7
196806,69.8,0.3
196807,71.0,-2.1
196808,68.4,-2.5
196809,62.6,-1.8
196810,55.4,1.2
196811,41.0,-1.9
196812,32.4,-2.3
196901,39.0,4.9
196902,37.2,-1.0
196903,37.3,-6.9
196904,53.4,1.6
196905,61.0,0.2
196906,67.5,-2.0
196907,74.4,1.3
196908,73.5,2.6
196909,64.9,0.5
196910,51.9,-2.3
196911,41.0,-1.9
196912,36.9,2.2
197001,32.8,-1.3
197002,40.0,1.8
197003,40.0,-4.2
197004,48.2,-3.6
197005,60.6,-0.2
197006,67.5,-2.0
197007,73.2,0.1
197008,71.9,1.0
197009,63.5,-0.9
197010,49.3,-4.9
197011,42.8,-0.1
197012,37.2,2.5
197101,34.3,0.2
197102,36.7,-1.5
197103,44.6,0.4
197104,50.1,-1.7
197105,58.5,-2.3
197106,69.5,0.0
197107,73.3,0.2
197108,68.6,-2.3
197109,62.8,-1.6
197110,52.2,-2.0
197111,42.5,-0.4
197112,33.5,-1.2
197201,35.2,1.1
197202,39.7,1.5
197203,49.2,5.0
197204,53.3,1.5
197205,59.6,-1.2
197206,68.8,-0.7
197207,72.5,-0.6
197208,69.2,-1.7
197209,63.7,-0.7
197210,55.0,0.8
197211,36.8,-6.1
197212,33.5,-1.2
197301,30.6,-3.5
197302,35.5,-2.7
197303,40.9,-3.3
197304,45.5,-6.3
197305,58.3,-2.5
197306,67.2,-2.3
197307,71.3,-1.8
197308,70.4,-0.5
197309,63.4,-1.0
197310,54.7,0.5
197311,44.8,1.9
197312,35.2,0.5
197401,33.7,-0.4
197402,35.5,-2.7
197403,48.5,4.3
197404,51.4,-0.4
197405,63.7,2.9
197406,71.4,1.9
197407,72.1,-1.0
197408,68.3,-2.6
197409,61.2,-3.2
197410,54.2,0.0
197411,41.7,-1.2
197412,31.7,-3.0
197501,32.6,-1.5
197502,35.8,-2.4
197503,42.4,-1.8
197504,47.5,-4.3
197505,57.0,-3.8
197506,67.8,-1.7
197507,70.4,-2.7
197508,70.3,-0.6
197509,61.7,-2.7
197510,54.0,-0.2
197511,41.3,-1.6
197512,35.4,0.7
197601,33.0,-1.1
197602,42.7,4.5
197603,43.2,-1.0
197604,51.8,0.0
197605,58.9,-1.9
197606,68.6,-0.9
197607,70.9,-2.2
197608,69.9,-1.0
197609,63.1,-1.3
197610,49.4,-4.8
197611,38.5,-4.4
197612,32.5,-2.2
197701,30.5,-3.6
197702,38.0,-0.2
197703,40.8,-3.4
197704,51.8,0.0
197705,60.0,-0.8
197706,70.9,1.4
197707,73.1,0.0
197708,72.7,1.8
197709,66.8,2.4
197710,55.8,1.6
197711,44.5,1.6
197712,39.5,4.8
197801,34.1,0.0
197802,35.8,-2.4
197803,45.9,1.7
197804,53.8,2.0
197805,59.4,-1.4
197806,70.6,1.1
197807,74.6,1.5
197808,70.2,-0.7
197809,63.6,-0.8
197810,55.4,1.2
197811,43.7,0.8
197812,31.6,-3.1
197901,29.0,-5.1
197902,36.1,-2.1
197903,42.8,-1.4
197904,51.1,-0.7
197905,58.6,-2.2
197906,66.7,-2.8
