Year,Coal,Natural Gas,Petroleum Products,Nuclear Electric Power,Oil Price
1970,3.187606286484429,2.39585902692657,10.688703762763671,0.0,3.893165630192066
1971,3.0186732243683787,2.4478490698375555,10.798715283392044,0.0,3.8582165660923993
1972,3.001769404565224,2.4816878191796388,10.601062639553115,0.0,3.802259427248911
1973,2.929581097527033,2.487299190960725,10.600210875558838,0.0,3.9711447397467854
1974,3.231872673589482,2.664112337808854,11.631678862677198,0.0,4.976442753356982
1975,2.248968718212105,2.812129405982461,12.38896643072356,0.0,6.125209628000433
1976,2.8743762318924277,3.006672209925442,12.808527076428263,0.0,7.023337858040332
1977,3.207570913264309,3.7564703675927578,13.131214225663363,0.0,7.773182165485707
1978,3.460423781160092,4.450065047638969,13.29818070063754,0.0,8.24975011462606
1979,3.5888695380596216,5.070575414788439,14.052191965239818,0.0,9.802055470604977
1980,3.446181313635158,5.6439023078156865,15.741609260010497,0.0,12.149054858058808
1981,3.3356681058493494,6.149083612783797,17.297483120782836,0.0,13.266136993459305
1982,3.410148371275286,7.015534284832977,17.940387045340692,0.0,13.432365328307169
1983,3.4402993959144594,7.822336686551452,17.595138303445456,0.0,13.155734567763663
1984,3.3444848147550235,8.401613393478598,17.19529089441931,0.0,12.787485643226267
1985,3.212341666876891,8.928866498825242,16.851474815909327,0.0,12.231125878719658
1986,3.076871021429317,8.962622729006158,15.680806576625795,0.0,10.562986999618012
1987,2.9870305438813918,8.663992326752712,14.836259011606423,0.0,9.570510497512464
1988,2.8178992692222042,8.236991619769855,14.057812620467146,0.0,8.506326634066689
1989,2.6317585638011094,7.994449613669732,13.640534420323918,0.0,7.939225929675321
1990,2.5184906167428647,7.8949698733077955,13.598930102484257,0.0,7.82166054600001
1991,2.4220463102506917,7.6621059353025025,13.202244334630098,0.0,7.431330917762694
1992,2.3650663269369674,7.364363484518707,12.757325815100067,0.0,7.020911430481603
1993,2.2652611671825955,7.227797134166696,12.491190154001634,0.0,6.489389934280242
1994,2.184484026204136,7.171373361586076,12.219061617874296,0.0,5.981697239767485
1995,2.0624052786657283,6.811131599157467,11.902483946693092,0.0,5.646186532922083
1996,1.9413416864683637,6.372147730581535,11.945226055162408,0.0,5.61007091883453
1997,1.8551255462430247,6.368259074753911,11.885012998343004,0.0,5.43298416719662
1998,1.77903240860834,6.27890443843565,11.347408262087177,0.0,4.845858674778407
1999,1.7265967553247927,6.076636505980916,11.08200254997151,0.0,4.680945700671358
2000,1.6566246255198234,6.277448191324718,11.554866872690267,0.0,5.188295550583214
2001,1.6031235176995213,6.665693864908589,11.840532647313964,0.0,5.26234236005599
2002,1.5708234530491936,6.612262893293903,11.756328509778468,0.0,5.283825737183265
2003,1.5312569463665213,7.04743165648741,12.033442321673895,0.0,5.551231387013828
2004,1.5314608637437448,7.652494744050125,12.76600891877362,0.0,6.265578743049702
2005,1.5708369463418594,8.432474550840707,14.283043277366486,0.0,7.400046162432733
2006,1.623807556548333,9.31296760803456,15.860031368907794,0.0,8.600465685019747
2007,1.7340147151504062,9.717687168756717,17.21727679357478,0.0,9.711556180248392
2008,1.8253121959637917,10.067248608069939,19.153595856686586,0.0,11.752201645400275
2009,2.0009234130220035,9.62067046350131,18.777529893075553,0.0,11.439582265378418
2010,1.460970970674259,9.232870160634901,13.148568512191986,0.0,7.906671864692498
2011,1.4268289015670612,9.369228416571795,13.140135646475379,0.0,7.913714541674007
2012,1.393484713394063,9.50558667250869,13.131702780758774,0.0,7.920757218655516
2013,1.360919760127013,9.641944928445586,13.123269915042167,0.0,7.927799895637025
