Year,Solar,Wind
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,77.67
1978,,56.1
1979,,39.8
1980,63,30
1981,57,24.1
1982,52.5,18.3
1983,47,16.2
1984,42,18.1
1985,37,17
1986,33,11.1
1987,30,8.6
1988,27,6.8
1989,23,6
1990,20,6.7
1991,18,6.9
1992,17,6.8
1993,16,6.8
1994,14,6.8
1995,12,6.6
1996,11,5.1
1997,10,5.5
1998,9,5.6
1999,8,5.6
2000,7,5
2001,6,4.9
2002,6,5
2003,6,4.4
2004,6,4
2005,7,3.3
2006,7,3.4
2007,8,3.4
2008,9,3.4
2009,9,2
2010,,
2011,,
2012,,
2013,,
2014,,
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,
2024,,
2025,,
2026,,
2027,,
2028,,
2029,,
2030,,
2031,,
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
2039,,
2040,,
2041,,
2042,,
2043,,
2044,,
2045,,
2046,,
2047,,
2048,,
2049,,
2050,,
