Date,Value,Anomaly
196001,44.1,-1.3
196002,43.7,-5.9
196003,50.6,-6.3
196004,66.6,1.3
196005,71.5,-1.3
196006,81.2,1.8
196007,81.7,-0.5
196008,81.2,-0.3
196009,76.2,0.8
196010,68.1,2.0
196011,56.1,0.7
196012,42.9,-4.2
196101,41.4,-4.0
196102,49.6,0.0
196103,57.9,1.0
196104,63.7,-1.6
196105,73.4,0.6
196106,77.6,-1.8
196107,79.6,-2.6
196108,79.4,-2.1
196109,75.1,-0.3
196110,65.7,-0.4
196111,51.3,-4.1
196112,46.6,-0.5
196201,40.1,-5.3
196202,55.7,6.1
196203,53.0,-3.9
196204,64.6,-0.7
196205,75.6,2.8
196206,78.4,-1.0
196207,82.9,0.7
196208,83.8,2.3
196209,76.5,1.1
196210,69.4,3.3
196211,54.9,-0.5
196212,46.8,-0.3
196301,39.2,-6.2
196302,47.7,-1.9
196303,59.2,2.3
196304,70.0,4.7
196305,74.4,1.6
196306,80.1,0.7
196307,83.8,1.6
196308,83.2,1.7
196309,77.1,1.7
196310,70.3,4.2
196311,56.7,1.3
196312,40.7,-6.4
196401,44.6,-0.8
196402,43.8,-5.8
196403,55.2,-1.7
196404,67.0,1.7
196405,74.4,1.6
196406,79.5,0.1
196407,84.2,2.0
196408,83.4,1.9
196409,75.8,0.4
196410,63.9,-2.2
196411,57.0,1.6
196412,47.3,0.2
196501,49.2,3.8
196502,46.2,-3.4
196503,49.5,-7.4
196504,68.2,2.9
196505,72.9,0.1
196506,78.8,-0.6
196507,83.0,0.8
196508,80.9,-0.6
196509,76.8,1.4
196510,64.3,-1.8
196511,60.7,5.3
196512,50.6,3.5
196601,40.3,-5.1
196602,44.8,-4.8
196603,56.7,-0.2
196604,64.8,-0.5
196605,71.6,-1.2
196606,78.1,-1.3
196607,84.0,1.8
196608,79.5,-2.0
196609,74.4,-1.0
196610,63.5,-2.6
196611,58.6,3.2
196612,45.5,-1.6
196701,46.5,1.1
196702,48.2,-1.4
196703,62.0,5.1
196704,70.6,5.3
196705,71.9,-0.9
196706,80.3,0.9
196707,81.6,-0.6
196708,79.6,-1.9
196709,72.3,-3.1
196710,64.9,-1.2
196711,55.3,-0.1
