Year,Coal,Natural Gas,Petroleum Products,Nuclear Electric Power,Oil Price
1970,2.1302101147949153,1.8012314158859757,8.731210367773459,0.0,3.893165630192066
1971,2.2685151028511457,1.8563628830409356,8.75521410616202,0.0,3.8582165660923993
1972,2.573088004233673,1.9009570213918812,8.58433704303982,0.0,3.802259427248911
1973,2.9699727022027704,1.9420923201099802,8.532017823438675,0.0,3.9711447397467854
1974,3.8152161915240406,2.178596002496406,9.725363323529013,0.0,4.976442753356982
1975,4.110932729049364,2.770368700684603,10.507208306053332,0.0,6.125209628000433
1976,4.8757036144449595,3.5006458553346924,11.049003956449571,0.0,7.023337858040332
1977,5.186386789239857,4.011814038336533,11.489675931610392,0.0,7.773182165485707
1978,5.587965822612537,4.74166693705324,11.518843436528838,0.0,8.24975011462606
1979,5.744388898707211,5.276916545636776,12.277370701874965,0.0,9.802055470604977
1980,5.112560106406653,5.567382380871359,13.666172409983556,0.0,12.149054858058808
1981,4.762899450693229,5.978326125813302,14.932607061377821,0.0,13.266136993459305
1982,4.523551387311008,6.555107468282398,15.398300223274523,0.0,13.432365328307169
1983,4.308969069528582,6.980224110387926,15.39719010750752,0.0,13.155734567763663
1984,4.142978855872427,7.354225858347833,15.188693492957329,0.0,12.787485643226267
1985,3.9237200795452645,7.2864084009190675,14.666841181714576,0.0,12.231125878719658
1986,3.681930133517312,6.873889326646041,13.408093912375557,0.0,10.562986999618012
1987,3.358347696831716,6.372737316497258,12.5207917441142,0.0,9.570510497512464
1988,3.1132474193497153,5.9774898259905305,11.654763904898642,0.16907147373359702,8.506326634066689
1989,2.88279313636776,5.648080484454806,10.956518549348866,0.3073762672629498,7.939225929675321
1990,2.628011306813734,5.327719549636646,10.820764803190777,0.4607974601488313,7.82166054600001
1991,2.4579538137527743,4.9667633209950415,10.509308593484205,0.5369584473102751,7.431330917762694
1992,2.3282628500467104,4.7203249946053125,10.116585949295757,0.6014155196009238,7.020911430481603
1993,2.1761222036920933,4.655389488257568,9.742397878349145,0.7080970059990062,6.489389934280242
1994,2.0888545630872972,4.473256177547697,9.527642640808805,0.7482054081300833,5.981697239767485
1995,2.0079612053614384,4.211477407583122,9.327958435998834,0.757015846534261,5.646186532922083
1996,1.9292395299138847,4.1671694016035605,9.403383245021466,0.7606620773931945,5.61007091883453
1997,1.879519301974872,4.222532249704154,9.239349616516586,0.7521229964320988,5.43298416719662
1998,1.8967522330799045,4.0718218223531,8.671842020523256,0.7364595266530042,4.845858674778407
1999,1.8982642232090423,4.000550787215706,8.455907217561412,0.7127489174607994,4.680945700671358
2000,1.8170468388921892,4.365484709783673,9.02702538482654,0.674024239366503,5.188295550583214
2001,1.781122260874755,4.773045959218316,9.187344728464115,0.6296499512833147,5.26234236005599
2002,1.7162288474916658,4.735592431552166,9.107077140359834,0.5773193789830358,5.283825737183265
2003,1.6607083175763528,5.250126533928727,9.444980030299352,0.5407117657965431,5.551231387013828
2004,1.6482988593468422,5.751970587954843,10.233399515247068,0.5078752707903876,6.265578743049702
2005,1.6599639460428173,6.596571549071074,11.577180063418878,0.4859103334456871,7.400046162432733
2006,1.7473849419415157,6.97837654321967,13.067527172138295,0.46493943359201084,8.600465685019747
2007,1.9506694137593543,7.1912262272119145,14.48749183775293,0.46902203965201217,9.711556180248392
2008,2.1576125149321608,7.781979612176931,16.61241153764876,0.4702064343994605,11.752201645400275
2009,2.5926185423742814,7.194841552278798,16.23932195122937,0.49054151855110095,11.439582265378418
